img_size,filters,dropout,batch_size,lr,optimizer,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
128,16,0.2,16,0.001,adam,0.5506130695343018,0.0875503881261745,0.6700573682785034,0.09028156302366708,0.46148744225502014,0.08607176461852455,0.4877666844119883,0.1263740557489308
128,16,0.2,16,0.001,rmsprop,0.5926130414009094,0.03936462688266412,0.7119457364082337,0.037314942566798015,0.4515125691890717,0.08387808582567005,0.5728726721710915,0.0355439045713463
128,16,0.2,16,0.0005,adam,0.5865376830101013,0.08837596919464749,0.7367284059524536,0.13582458220602264,0.45033668279647826,0.06436626047237007,0.5674963284788432,0.10570535813505533
128,16,0.2,16,0.0005,rmsprop,0.6246733665466309,0.05803244290676604,0.7629129767417908,0.05863350114885773,0.5205829262733459,0.07356160798874486,0.6092504862486318,0.07524673006033288
128,16,0.2,32,0.001,adam,0.24316582977771758,0.16346326620190574,0.19682539403438568,0.3235682183249179,0.09900000095367431,0.15493224557704982,0.17383110580069153,0.1914494574232999
128,16,0.2,32,0.001,rmsprop,0.16614070534706116,0.017514641014993594,0.0375,0.07500000000000001,0.0029999999329447745,0.005999999865889549,0.056780321247973733,0.008341052874623006
128,16,0.2,32,0.0005,adam,0.3461608111858368,0.2178170961122964,0.28967603445053103,0.3590484612713024,0.20600000619888306,0.25261433847383097,0.2762304405003018,0.25046256836582476
128,16,0.2,32,0.0005,rmsprop,0.23551256209611893,0.14276890435691125,0.1703397035598755,0.21975385693787142,0.1034221112728119,0.16353694204872413,0.15390120640970273,0.1677244319795688
128,16,0.3,16,0.001,adam,0.5744773924350739,0.05532078903623749,0.6558813571929931,0.03313293524961096,0.4863969922065735,0.08063733391432507,0.5483651732826196,0.07239986555539628
128,16,0.3,16,0.001,rmsprop,0.5325175881385803,0.034920953018077704,0.6413541316986084,0.0494938057289291,0.4484070360660553,0.05596122969157417,0.4955670783590965,0.04451881440124941
